"C1"	"C2"	"C3"
"GTEX.1128S"	-0.0202	0.0106	0.0322
"GTEX.1192W"	-0.0209	-0.0047	0.0153
"GTEX.1192X"	-0.0209	0.0095	0.0108
"GTEX.1211K"	-0.021	0.0092	0.0138
"GTEX.1212Z"	-0.0205	0.0039	0.0042
"GTEX.1339X"	-0.0221	-0.0032	0.0129
"GTEX.1399Q"	-0.0204	-0.001	0.0366
"GTEX.1399R"	-0.0224	0.0128	0.0381
"GTEX.1399T"	-0.0224	0.0028	0.015
"GTEX.1399U"	-0.0193	0.009	-0.0114
"GTEX.12126"	0.1181	0.0209	0.0039
"GTEX.12584"	-0.0198	0.0074	-0.0359
"GTEX.12696"	-0.0219	0.0178	0.0097
"GTEX.13111"	-0.0108	-0.0493	-0.1495
"GTEX.13112"	-0.0212	0.0019	0.0252
"GTEX.13113"	0.0846	0.0177	-0.0107
"GTEX.NL3G"	-0.0222	0.0091	0.0196
"GTEX.U3ZG"	-0.0226	0.0113	0.062
"GTEX.X88G"	0.1196	0.0142	-0.0058
"GTEX.X638"	0.1171	0.0111	0.0139
"GTEX.XBEC"	-0.0206	0.0083	0.0444
"GTEX.XBEW"	-0.013	0.0044	-0.1819
"GTEX.XGQ4"	-0.0209	0.0056	0.0114
"GTEX.XLM4"	-0.0216	0.0054	0.035
"GTEX.XMD1"	-0.0208	0.0147	-0.0075
"GTEX.XMD2"	-0.02	9e-04	0.0418
"GTEX.XMD3"	0.0098	-0.0732	-0.0611
"GTEX.XMK1"	-0.0202	0.0024	0.0288
"GTEX.XOT4"	-0.0116	-0.0014	-0.2336
"GTEX.XPT6"	-0.0196	0.0101	0.0235
"GTEX.XPVG"	-0.0213	0.0011	0.042
"GTEX.XQ3S"	-0.0208	0.0039	0.0544
"GTEX.XQ8I"	-0.0211	0.0017	-0.0109
"GTEX.XUJ4"	-0.0118	0.0043	-0.1876
"GTEX.XUW1"	-0.022	0.0059	0.0367
"GTEX.XUYS"	0.1159	0.0151	-0.0106
"GTEX.XUZC"	-0.0217	0.0092	-0.0031
"GTEX.XV7Q"	-0.022	0.0181	0.0426
"GTEX.XXEK"	-0.0216	0.0079	0.0164
"GTEX.XYKS"	0.1236	-0.0057	0.0045
"GTEX.Y3I4"	-0.0206	0.0123	5e-04
"GTEX.Y3IK"	0.1006	0.0155	0.0268
"GTEX.Y5LM"	-0.0214	0.0035	0.0133
"GTEX.Y5V5"	-0.0224	-5e-04	-0.0065
"GTEX.Y5V6"	-0.022	0.0061	0.0207
"GTEX.Y8DK"	-0.0215	0.0124	0.0114
"GTEX.Y8E4"	-0.0128	0.002	-0.2056
"GTEX.Y8E5"	0.1138	0.0106	0.0126
"GTEX.Y8LW"	-0.0202	-0.0016	-0.0067
"GTEX.Y9LG"	-0.0226	0.0094	0.0303
"GTEX.Y111"	-0.0209	0.0034	0.008
"GTEX.Y114"	0.1321	0.0152	0.005
"GTEX.YB5E"	0.031	0.0097	0.0024
"GTEX.YB5K"	-0.0208	0.0135	0.0171
"GTEX.YBZK"	0.0943	0.0161	0.0124
"GTEX.YEC3"	-0.0203	0.0056	0.0183
"GTEX.YEC4"	-0.0206	0.0068	0.0138
"GTEX.YECK"	-0.0219	-0.0082	0.0067
"GTEX.YF7O"	-0.0203	0.0011	0.0144
"GTEX.YFC4"	-0.0215	0.015	-0.0026
"GTEX.YFCO"	0.0119	-0.0895	-0.0576
"GTEX.YJ8A"	-0.0206	0.0056	0.0167
"GTEX.YJ89"	-0.0114	-4e-04	-0.1762
"GTEX.Z9EW"	-0.0218	0.0144	-0.002
"GTEX.Z93S"	-0.0215	0.0034	0.0247
"GTEX.Z93T"	0.1264	0.0119	-0.0127
"GTEX.ZA64"	-0.0216	0.0077	-9e-04
"GTEX.ZAB4"	-0.0189	2e-04	0.0045
"GTEX.ZAB5"	-0.0217	2e-04	0.0166
