Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
ENSG00000183671.11-ENSG00000166592.10	ENSG00000183671.11	ENSG00000166592.10	0.682829377882	0.682829377882	lasso	1	1
ENSG00000135722.7-ENSG00000124575.6	ENSG00000135722.7	ENSG00000124575.6	-0.680190219275	0.680190219275	lasso	1	1
ENSG00000114812.11-ENSG00000156427.7	ENSG00000114812.11	ENSG00000156427.7	-0.679512968223	0.679512968223	lasso	1	1
ENSG00000142677.3-ENSG00000129757.11	ENSG00000142677.3	ENSG00000129757.11	0.675955635388	0.675955635388	lasso	1	1
ENSG00000181649.5-ENSG00000152779.13	ENSG00000181649.5	ENSG00000152779.13	0.673862155465	0.673862155465	lasso	1	1
ENSG00000197405.6-ENSG00000163283.6	ENSG00000197405.6	ENSG00000163283.6	0.672931569082	0.672931569082	lasso	1	1
ENSG00000106689.9-ENSG00000133328.3	ENSG00000106689.9	ENSG00000133328.3	-0.671927085945	0.671927085945	lasso	1	1
ENSG00000091622.14-ENSG00000125148.6	ENSG00000091622.14	ENSG00000125148.6	0.667909283848	0.667909283848	lasso	1	1
ENSG00000164743.4-ENSG00000187288.9	ENSG00000164743.4	ENSG00000187288.9	-0.664066310249	0.664066310249	lasso	1	1
ENSG00000164743.4-ENSG00000120675.5	ENSG00000164743.4	ENSG00000120675.5	-0.660468784234	0.660468784234	lasso	1	1
ENSG00000101198.13-ENSG00000167183.2	ENSG00000101198.13	ENSG00000167183.2	-0.659155388836	0.659155388836	lasso	1	1
ENSG00000105379.8-ENSG00000132744.6	ENSG00000105379.8	ENSG00000132744.6	-0.658088108775	0.658088108775	lasso	1	1
ENSG00000086548.8-ENSG00000146250.6	ENSG00000086548.8	ENSG00000146250.6	-0.657242106411	0.657242106411	lasso	1	1
ENSG00000187288.9-ENSG00000167772.10	ENSG00000187288.9	ENSG00000167772.10	0.654822794535	0.654822794535	lasso	1	1
