Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2
ENSG00000134070.4-ENSG00000143845.13	ENSG00000134070.4	ENSG00000143845.13	lasso	2.0				0.268185708853	0.268185708853	2.0
ENSG00000167772.10-ENSG00000125148.6	ENSG00000167772.10	ENSG00000125148.6	lasso	2.0				0.267156478923	0.267156478923	2.0
ENSG00000165272.13-ENSG00000138615.5	ENSG00000165272.13	ENSG00000138615.5	lasso	2.0				0.266402326087	0.266402326087	2.0
ENSG00000178150.7-ENSG00000151726.12	ENSG00000178150.7	ENSG00000151726.12	lasso	2.0				-0.265335308383	0.265335308383	2.0
ENSG00000167772.10-ENSG00000122786.18	ENSG00000167772.10	ENSG00000122786.18	lasso	2.0				0.264696309289	0.264696309289	2.0
ENSG00000178150.7-ENSG00000125730.15	ENSG00000178150.7	ENSG00000125730.15	lasso	2.0				-0.264363362816	0.264363362816	2.0
ENSG00000143320.7-ENSG00000124575.6	ENSG00000143320.7	ENSG00000124575.6	lasso	2.0				0.263565748833	0.263565748833	2.0
ENSG00000178150.7-ENSG00000185432.11	ENSG00000178150.7	ENSG00000185432.11	lasso	2.0				-0.263185045298	0.263185045298	2.0
ENSG00000167772.10-ENSG00000129988.5	ENSG00000167772.10	ENSG00000129988.5	lasso	2.0				0.262585329574	0.262585329574	2.0
ENSG00000178150.7-ENSG00000135094.9	ENSG00000178150.7	ENSG00000135094.9	lasso	2.0				-0.262079294347	0.262079294347	2.0
ENSG00000186603.5-ENSG00000123610.4	ENSG00000186603.5	ENSG00000123610.4	lasso	2.0				-0.261334433338	0.261334433338	2.0
ENSG00000184270.4-ENSG00000166589.11	ENSG00000184270.4	ENSG00000166589.11	lasso	2.0				0.259866386118	0.259866386118	2.0
ENSG00000187566.4-ENSG00000141750.6	ENSG00000187566.4	ENSG00000141750.6	lasso	2.0				0.259351847747	0.259351847747	2.0
ENSG00000007255.9-ENSG00000181634.7	ENSG00000007255.9	ENSG00000181634.7	lasso	2.0				0.257629953188	0.257629953188	2.0
ENSG00000256060.2-ENSG00000117594.8	ENSG00000256060.2	ENSG00000117594.8	lasso	2.0				0.255830767864	0.255830767864	2.0
ENSG00000278637.1-ENSG00000205420.9	ENSG00000278637.1	ENSG00000205420.9	lasso	2.0				0.254235640465	0.254235640465	2.0
ENSG00000157111.11-ENSG00000183671.11	ENSG00000157111.11	ENSG00000183671.11	lasso	2.0				0.254075371861	0.254075371861	2.0
ENSG00000167772.10-ENSG00000166825.12	ENSG00000167772.10	ENSG00000166825.12	lasso	2.0				0.254030659902	0.254030659902	2.0
ENSG00000146250.6-ENSG00000039987.5	ENSG00000146250.6	ENSG00000039987.5	lasso	2.0				0.25399402095	0.25399402095	2.0
ENSG00000187566.4-ENSG00000145569.5	ENSG00000187566.4	ENSG00000145569.5	lasso	2.0				0.253719591638	0.253719591638	2.0
ENSG00000167772.10-ENSG00000179046.7	ENSG00000167772.10	ENSG00000179046.7	lasso	2.0				-0.252274653196	0.252274653196	2.0
ENSG00000146250.6-ENSG00000166592.10	ENSG00000146250.6	ENSG00000166592.10	lasso	2.0				0.252063498636	0.252063498636	2.0
ENSG00000102890.13-ENSG00000158445.7	ENSG00000102890.13	ENSG00000158445.7	lasso	2.0				-0.25173169889	0.25173169889	2.0
ENSG00000278637.1-ENSG00000185432.11	ENSG00000278637.1	ENSG00000185432.11	lasso	2.0				0.251659166664	0.251659166664	2.0
ENSG00000146250.6-ENSG00000145569.5	ENSG00000146250.6	ENSG00000145569.5	lasso	2.0				0.251344283364	0.251344283364	2.0
ENSG00000178150.7-ENSG00000132470.12	ENSG00000178150.7	ENSG00000132470.12	lasso	2.0				-0.251340115734	0.251340115734	2.0
ENSG00000106789.11-ENSG00000179046.7	ENSG00000106789.11	ENSG00000179046.7	lasso	2.0				-0.249284861833	0.249284861833	2.0
ENSG00000146250.6-ENSG00000125726.9	ENSG00000146250.6	ENSG00000125726.9	lasso	2.0				-0.248992636864	0.248992636864	2.0
ENSG00000183598.3-ENSG00000039987.5	ENSG00000183598.3	ENSG00000039987.5	lasso	2.0				-0.248306989332	0.248306989332	2.0
ENSG00000165272.13-ENSG00000163283.6	ENSG00000165272.13	ENSG00000163283.6	lasso	2.0				0.247624932479	0.247624932479	2.0
ENSG00000128965.10-ENSG00000054179.10	ENSG00000128965.10	ENSG00000054179.10	lasso	2.0				0.24738986302	0.24738986302	2.0
ENSG00000146250.6-ENSG00000179046.7	ENSG00000146250.6	ENSG00000179046.7	lasso	2.0				-0.247103139243	0.247103139243	2.0
ENSG00000178150.7-ENSG00000115112.7	ENSG00000178150.7	ENSG00000115112.7	lasso	2.0				-0.245872203135	0.245872203135	2.0
ENSG00000146250.6-ENSG00000187288.9	ENSG00000146250.6	ENSG00000187288.9	lasso	2.0				0.245584068841	0.245584068841	2.0
ENSG00000146250.6-ENSG00000096060.13	ENSG00000146250.6	ENSG00000096060.13	lasso	2.0				0.244960015308	0.244960015308	2.0
ENSG00000167772.10-ENSG00000132821.10	ENSG00000167772.10	ENSG00000132821.10	lasso	2.0				0.244825545649	0.244825545649	2.0
ENSG00000278637.1-ENSG00000187288.9	ENSG00000278637.1	ENSG00000187288.9	lasso	2.0				0.244035581053	0.244035581053	2.0
